instanceID,instruction1_1,instruction1_2,instruction1_3,instruction1_4,instruction1_5,instruction1_6,vcs002,vcs007,vcs007_other,vcs014_100_budaka,vcs014_101_kibuku,vcs015_10001_budaka,vcs015_10002_budakatc,vcs015_10003_ikiiki,vcs015_10004_kachomo,vcs015_10005_kakule,vcs015_10006_kameruka,vcs015_10007_kamonkoli,vcs015_10008_katira,vcs015_10009_lyama,vcs015_10010_mugiti,vcs015_10011_naboa,vcs015_10012_nansanga,vcs015_10013_kaderuna,vcs015_10101_bulangira,vcs015_10102_buseta,vcs015_10103_kabweri,vcs015_10104_kadama,vcs015_10105_kagumu,vcs015_10106_kasasira,vcs015_10107_kibuku,vcs015_10108_kibukutowncouncil,vcs015_10109_kirika,vcs015_10110_tirinyi,vcs017_1000101_chali,vcs017_1000102_gadumire,vcs017_1000103_nampangala,vcs017_1000104_sapiri,vcs017_1000201_budaka,vcs017_1000202_bwase,vcs017_1000203_macholi,vcs017_1000204_nabweyo,vcs017_1000205_namengo,vcs017_1000301_ikiiki,vcs017_1000302_kadenge,vcs017_1000303_kaitangole,vcs017_1000304_kakoli,vcs017_1000305_petete,vcs017_1000401_kachomo,vcs017_1000402_kadenge,vcs017_1000403_kodiri,vcs017_1000404_kotinyangha,vcs017_1000501_kakule,vcs017_1000502_kaperi,vcs017_1000503_kasuleta,vcs017_1000504_lerya,vcs017_1000505_namusita,vcs017_1000601_bupuchai,vcs017_1000602_kameruka,vcs017_1000603_lerya,vcs017_1000604_nabugalo,vcs017_1000605_nanzala,vcs017_1000701_bunyoro,vcs017_1000702_jami,vcs017_1000703_kadimukoli,vcs017_1000704_kamonkoli,vcs017_1000705_sekulo,vcs017_1000801_kadatumi,vcs017_1000802_katira,vcs017_1000803_kavule,vcs017_1000804_kerekerene,vcs017_1000901_lyama,vcs017_1000902_nalugondo,vcs017_1000903_suni,vcs017_1000904_tademeri,vcs017_1001001_bukaligwoko,vcs017_1001002_bunamwera,vcs017_1001003_mugiti,vcs017_1001004_nasenyi,vcs017_1001005_nyanza,vcs017_1001101_bunyekero,vcs017_1001102_lupada,vcs017_1001103_naboa,vcs017_1001104_nangeye,vcs017_1001201_idudia,vcs017_1001202_idudib,vcs017_1001203_nansangaa,vcs017_1001204_nansangab,vcs017_1001301_kebula,vcs017_1001302_kiryolo,vcs017_1001303_kaderuna,vcs017_1001304_kabuna,vcs017_1001305_kaperi,vcs017_1010101_bulangira,vcs017_1010102_kakutu,vcs017_1010103_lyama,vcs017_1010104_pulaka,vcs017_1010201_buseta,vcs017_1010202_katiryocentral,vcs017_1010203_kituti,vcs017_1010204_natoto,vcs017_1010301_kabweri,vcs017_1010302_kasecha,vcs017_1010303_kenkebu,vcs017_1010304_molokachomo,vcs017_1010401_dodoi,vcs017_1010402_kadama,vcs017_1010403_nabunyere,vcs017_1010404_nandere,vcs017_1010501_goligoli,vcs017_1010502_kagumu,vcs017_1010503_nabuli,vcs017_1010504_nankokoli,vcs017_1010601_bugiri,vcs017_1010602_kapyani,vcs017_1010603_kasasira,vcs017_1010604_nankodo,vcs017_1010701_bumiza,vcs017_1010702_nalubembe,vcs017_1010801_buweberaward,vcs017_1010802_kibukuward,vcs017_1010803_kobolwaward,vcs017_1010804_namawondoward,vcs017_1010901_kajoko,vcs017_1010902_kirika,vcs017_1010903_mikombe,vcs017_1010904_nabiswa,vcs017_1011001_kalampete,vcs017_1011002_kataka,vcs017_1011003_kitantalo,vcs017_1011004_lwatama,vcs017_1011005_nanoko,vcs017_1011006_tirinyi
uuid:9750c899-df4d-4e4c-8e95-c193dae72e8b,null,null,null,null,null,null,Wed Feb 20 06:12:34 UTC 2013,0206,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010502_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050202_Kagumi_1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:0a4fd11f-142d-4dd7-a5da-d8807be99896,null,null,null,null,null,null,Fri Feb 22 09:24:33 UTC 2013,0206,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010503_Nabuli,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050301_Kamolokini,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:54f794a3-3def-4145-ac61-b6db9bd5837f,null,null,null,null,null,null,Thu Feb 21 06:26:44 UTC 2013,2304,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010503_Nabuli,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050302_Majala,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:743e319d-7c2f-405d-a35d-8aed90f4c25e,null,null,null,null,null,null,Thu Feb 21 06:50:24 UTC 2013,2304,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010503_Nabuli,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050307_Bupalama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:61212d35-5438-4c19-8283-049db8de5cbd,null,null,null,null,null,null,Sat Feb 23 07:09:13 UTC 2013,2304,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010503_Nabuli,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050309_Nabuli_Central,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:9bab0fa3-8371-4c9e-b2c7-e1fd21f98f68,null,null,null,null,null,null,Mon Feb 25 15:29:23 UTC 2013,2304,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010502_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050203_Nakooma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:8ae17f7b-c8a3-4132-8546-a2480ccd3f6d,null,null,null,null,null,null,Mon Feb 25 15:56:06 UTC 2013,2304,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010504_Nankokoli,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050406_Nambiri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:1d3be162-fa1e-40dd-82d6-7404c0f36493,null,null,null,null,null,null,Wed Feb 20 12:29:11 UTC 2013,2608,null,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010202_Katiryo_Central,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020202_Nakibwe,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:30db99cb-90b6-41d2-84c3-757412580aa2,null,null,null,null,null,null,Sat Feb 23 06:17:12 UTC 2013,2608,null,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010202_Katiryo_Central,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020205_Namejje,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:a60666e6-2f30-4b59-80b2-8266a9545808,null,null,null,null,null,null,Mon Feb 25 07:04:40 UTC 2013,2608,null,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010203_Kituti,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020303_Bukalijoko,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:58362dad-4e6b-4eee-9c66-56afc3016f04,null,null,null,null,null,null,Mon Feb 25 12:53:20 UTC 2013,2608,null,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010202_Katiryo_Central,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020203_Katiryo_1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:d7aacfaa-dfa9-464b-ae8e-c687db95a0f1,null,null,null,null,null,null,Tue Feb 19 13:26:04 UTC 2013,0206,null,null,10105_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010502_Kagumu,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101050201_Budukulo,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
