infected,recovered,deaths,chinfected,cinfected,Infection_Rate_china
548,28,17,,,
643,30,18,,6.7290998500697055e-06,
920,36,26,,1.9620638510203246e-05,
1406,39,42,,3.44246581803566e-05,
2075,49,56,,4.738702947049087e-05,
2877,58,82,,5.6807769260588463e-05,
5509,101,131,,0.0001864314821619312,
6087,120,133,,4.09412601404241e-05,
8141,135,171,3.9724950884086443,0.0001454902220215071,2.8138227477698156e-07
9802,214,213,3.0998209489704567,0.00011765299843121874,2.195684703469477e-07
11891,275,259,1.3907169317934192,0.0001479693640715328,9.850813786547892e-08
16630,463,361,2.2522965178380687,0.0003356758335734772,1.5953608589996493e-07
19716,614,425,1.908176722716782,0.00021858949618226432,1.3516117577621054e-07
23707,843,491,2.007942238267148,0.00028269302633292834,1.4222782962602205e-07
27440,1115,563,2.4363835788154184,0.00026441820779273906,1.7257545657809605e-07
30587,1477,633,1.3238167504505358,0.00022291028661230907,9.376942207343648e-08
34110,1999,718,1.2435421166306695,0.000249543355492585,8.80833586376295e-08
36814,2596,805,0.9426105717367853,0.00019153143152198405,6.676758586261181e-08
39829,3219,905,0.7967714965592643,0.00021356037945221223,5.643742061091326e-08
42354,3918,1012,0.8430894891452317,0.00017885239075185268,5.971824584213182e-08
44386,4636,1112,0.7139085730165347,0.00014393190416149096,5.056802180683201e-08
44759,5082,1117,0.6061646448462653,2.6420570990273686e-05,4.293623600792169e-08
59895,6217,1369,1.6196626039228348,0.0010721226876911059,1.1472496194969112e-07
66358,7977,1521,2.0399422112688024,0.00045779128769474214,1.444944718736817e-07
68413,9298,1663,2.33816660179058,0.00014556105465150784,1.6561848978470508e-07
70513,10755,1766,3.241535556954059,0.00014874852300154084,2.2960648873994926e-07
72434,12462,1864,0.6248878700289047,0.0001360694822314095,4.4262451289704e-08
74211,14206,2003,0.3271538076987169,0.00012586958351130386,2.317316461405441e-08
74619,15962,2116,0.2582927539851001,2.8899713040299367e-05,1.8295555074897142e-08
75077,18014,2238,0.17721518987341772,3.244134454033605e-05,1.2552617974813574e-08
75550,18704,2238,0.2485046654438153,3.350383399034706e-05,1.7602239020837892e-08
77001,22699,2443,0.35527823761619765,0.00010277814613106466,2.516529195238089e-08
77022,23187,2445,0.3872059297454077,1.4874852300154085e-06,2.7426814355746567e-08
77241,25015,2595,0.4741454864154251,1.551234597016069e-05,3.3584971805781735e-08
77754,27676,2665,0.7073170731707317,3.633713919037641e-05,5.0101128537104354e-08
78166,30084,2717,0.4175627240143369,2.9183043560302302e-05,2.9577065932206023e-08
78600,32930,2746,0.6566791510611736,3.074136142031845e-05,4.651431133631205e-08
